# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.12337     0.21368     0.00000  -57.152137650  -59.681503427   -2.529365777
     1       2     0.11651     0.20181     0.00000  -57.153170858  -59.688617244   -2.535446387
     1       2     0.10966     0.18994     0.00000  -57.154176604  -59.696356052   -2.542179448
     1       2     0.10281     0.17806     0.00000  -57.155149916  -59.704102507   -2.548952591
     1       2     0.09595     0.16619     0.00000  -57.156085891  -59.711363134   -2.555277243
     1       2     0.08910     0.15432     0.00000  -57.156979989  -59.717811297   -2.560831308
     1       2     0.08224     0.14245     0.00000  -57.157827577  -59.723274177   -2.565446599
     1       2     0.07539     0.13058     0.00000  -57.158624383  -59.727701500   -2.569077116
     1       2     0.06854     0.11871     0.00000  -57.159366355  -59.731133733   -2.571767378
     1       2     0.06168     0.10684     0.00000  -57.160049673  -59.733675887   -2.573626215
     1       2     0.05483     0.09497     0.00000  -57.160670916  -59.735475760   -2.574804844
     1       2     0.04798     0.08310     0.00000  -57.161226914  -59.736703218   -2.575476304
     1       2     0.04112     0.07123     0.00000  -57.161714717  -59.737528483   -2.575813766
     1       2     0.03427     0.05935     0.00000  -57.162131865  -59.738098872   -2.575967007
     1       2     0.02741     0.04748     0.00000  -57.162476234  -59.738517049   -2.576040815
     1       2     0.02056     0.03561     0.00000  -57.162745879  -59.738832611   -2.576086732
     1       2     0.01371     0.02374     0.00000  -57.162939527  -59.739058119   -2.576118592
     1       2     0.00685     0.01187     0.00000  -57.163056081  -59.739193786   -2.576137705
     1       2     0.00000     0.00000     0.00000  -57.163095041  -59.739239119   -2.576144078
     1       3     0.00000     0.00000     0.00000  -44.058354747  -44.088524329   -0.030169582
     1       3     0.00000     0.01484     0.00000  -44.058354245  -44.088535186   -0.030180940
     1       3     0.00000     0.02968     0.00000  -44.058352753  -44.088567472   -0.030214719
     1       3     0.00000     0.04452     0.00000  -44.058350291  -44.088618675   -0.030268384
     1       3     0.00000     0.05935     0.00000  -44.058346945  -44.088671826   -0.030324882
     1       3     0.00000     0.07419     0.00000  -44.058342768  -44.088685333   -0.030342565
     1       3     0.00000     0.08903     0.00000  -44.058337939  -44.088609070   -0.030271131
     1       3     0.00000     0.10387     0.00000  -44.058332512  -44.088405863   -0.030073351
     1       3     0.00000     0.11871     0.00000  -44.058326655  -44.088060660   -0.029734005
     1       3     0.00000     0.13355     0.00000  -44.058320563  -44.087577656   -0.029257093
     1       3     0.00000     0.14839     0.00000  -44.058314353  -44.086972584   -0.028658231
     1       3     0.00000     0.16323     0.00000  -44.058308214  -44.086265732   -0.027957518
     1       3     0.00000     0.17806     0.00000  -44.058302328  -44.085477204   -0.027174877
     1       3     0.00000     0.19290     0.00000  -44.058296880  -44.084625144   -0.026328264
     1       3     0.00000     0.20774     0.00000  -44.058292020  -44.083725913   -0.025433892
     1       3     0.00000     0.22258     0.00000  -44.058287914  -44.082795584   -0.024507669
     1       3     0.00000     0.23742     0.00000  -44.058284680  -44.081852148   -0.023567468
     1       3     0.00000     0.25226     0.00000  -44.058282429  -44.080918555   -0.022636125
