# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     86  -1.05245113E+01  -1.07230066E+01  -1.98495345E-01  -9.22441893E+00  -9.30777303E+00  -8.33540981E-02
     87  -1.05278077E+01  -1.07263645E+01  -1.98556751E-01  -9.23559160E+00  -9.31726443E+00  -8.16728345E-02
     88  -1.05299392E+01  -1.07314302E+01  -2.01491012E-01  -9.24190643E+00  -9.33294195E+00  -9.10355171E-02
     89  -1.05324910E+01  -1.07358095E+01  -2.03318504E-01  -9.25175482E+00  -9.34633013E+00  -9.45753098E-02
     90  -1.05334709E+01  -1.07372316E+01  -2.03760668E-01  -9.25487284E+00  -9.35067079E+00  -9.57979541E-02
     91  -1.05368173E+01  -1.07396789E+01  -2.02861615E-01  -9.26660165E+00  -9.35823800E+00  -9.16363508E-02
     92  -1.05416866E+01  -1.07429330E+01  -2.01246384E-01  -9.28518519E+00  -9.36792240E+00  -8.27372165E-02
     93  -1.05461865E+01  -1.07455450E+01  -1.99358538E-01  -9.30411106E+00  -9.37647254E+00  -7.23614828E-02
     94  -1.05488685E+01  -1.07504263E+01  -2.01557778E-01  -9.31226364E+00  -9.39175222E+00  -7.94885808E-02
     95  -1.05506475E+01  -1.07534745E+01  -2.02826974E-01  -9.31818200E+00  -9.40110026E+00  -8.29182636E-02
     96  -1.05563436E+01  -1.07580116E+01  -2.01667919E-01  -9.33789887E+00  -9.41496031E+00  -7.70614427E-02
     97  -1.05586380E+01  -1.07596932E+01  -2.01055178E-01  -9.34652564E+00  -9.42059662E+00  -7.40709863E-02
     98  -1.05607932E+01  -1.07622838E+01  -2.01490593E-01  -9.35428924E+00  -9.42946947E+00  -7.51802235E-02
     99  -1.05652454E+01  -1.07691327E+01  -2.03887374E-01  -9.37121364E+00  -9.45049273E+00  -7.92790917E-02
# k =  -0.000000   0.333333   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.09029986E+01  -1.14652752E+01  -5.62276580E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.64285906E-01   2.89951099E-01   1.25665193E-01
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.02794653E+01  -1.09520299E+01  -6.72564533E-01
# Error est. for CH`(vbm) CH`(cbm) diff =   5.92285405E-01   1.03287964E+00   4.40594234E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
      1  -5.58589198E+00  -5.71636401E+00  -1.30472026E-01  -2.34745407E-05  -1.01759132E-02  -1.01524386E-02
      2  -5.65229822E+00  -5.78701787E+00  -1.34719654E-01  -9.17766844E-02  -1.19283012E-01  -2.75063276E-02
      3  -5.69330308E+00  -5.78759546E+00  -9.42923886E-02  -1.48798450E-01  -1.22527417E-01   2.62710324E-02
      4  -5.68776984E+00  -5.78700243E+00  -9.92325939E-02  -1.60200531E-01  -1.24390901E-01   3.58096299E-02
      5  -5.67739832E+00  -5.78201748E+00  -1.04619159E-01  -1.67991914E-01  -1.21853332E-01   4.61385827E-02
      6  -5.66110845E+00  -5.78293930E+00  -1.21830851E-01  -1.70401648E-01  -1.24902649E-01   4.54989996E-02
      7  -5.66766189E+00  -5.78749589E+00  -1.19833994E-01  -1.85166659E-01  -1.31680373E-01   5.34862866E-02
      8  -5.66056891E+00  -5.79059957E+00  -1.30030668E-01  -1.88718862E-01  -1.36758100E-01   5.19607622E-02
      9  -5.66084875E+00  -5.79209506E+00  -1.31246319E-01  -1.97410355E-01  -1.40188765E-01   5.72215897E-02
     10  -5.65560667E+00  -5.79449583E+00  -1.38889156E-01  -2.02622919E-01  -1.44271102E-01   5.83518177E-02
     11  -5.66870381E+00  -5.79663625E+00  -1.27932436E-01  -2.21231378E-01  -1.47990576E-01   7.32408015E-02
     12  -5.67594584E+00  -5.80018293E+00  -1.24237092E-01  -2.33919752E-01  -1.52907738E-01   8.10120135E-02
     13  -5.67625324E+00  -5.90317418E+00  -2.26920941E-01  -2.34272275E-01  -2.81516459E-01  -4.72441835E-02
     14  -5.67644907E+00  -5.99657178E+00  -3.20122708E-01  -2.34497389E-01  -4.07825012E-01  -1.73327623E-01
     15  -5.67664550E+00  -6.07458273E+00  -3.97937231E-01  -2.34745847E-01  -5.10290854E-01  -2.75545007E-01
     16  -5.69107666E+00  -6.52418475E+00  -8.33108089E-01  -2.51979681E-01  -1.03991159E+00  -7.87931908E-01
     17  -6.04953045E+00  -6.78358240E+00  -7.34051949E-01  -6.73197331E-01  -1.36209964E+00  -6.88902314E-01
     18  -6.62193407E+00  -7.14658400E+00  -5.24649930E-01  -1.31969620E+00  -1.77672049E+00  -4.57024287E-01
     19  -6.62272642E+00  -7.17530593E+00  -5.52579513E-01  -1.32092418E+00  -1.82031831E+00  -4.99394125E-01
     20  -6.74440311E+00  -7.21595333E+00  -4.71550219E-01  -1.51085077E+00  -1.88151194E+00  -3.70661168E-01
     21  -6.87986926E+00  -7.25653837E+00  -3.76669108E-01  -1.72281264E+00  -1.94302917E+00  -2.20216537E-01
     22  -7.08546809E+00  -7.30145460E+00  -2.15986517E-01  -2.04960413E+00  -2.01113779E+00   3.84663372E-02
     23  -7.08624095E+00  -7.34987375E+00  -2.63632800E-01  -2.05097364E+00  -2.09325165E+00  -4.22780101E-02
     24  -7.18203645E+00  -7.43414868E+00  -2.52112221E-01  -2.22213058E+00  -2.23745409E+00  -1.53235099E-02
     25  -7.23700451E+00  -7.48102623E+00  -2.44021721E-01  -2.32116950E+00  -2.31815643E+00   3.01306951E-03
