# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      36    -0.06682    -0.27897     0.00000    2.735292283    0.422103668   -2.313188614
     1      36    -0.06682    -0.13058     0.00000    3.205081613    1.063387153   -2.141694460
     1      37     0.06040     0.08977     0.00000    5.608918953    5.224507842   -0.384411111
     1      37     0.06040     0.23816     0.00000    5.163159252    4.649494774   -0.513664478
     1      37     0.06040     0.38655     0.00000    5.175922304    4.671295371   -0.504626933
     1      37     0.06040     0.53494     0.00000    5.596651300    5.250036673   -0.346614627
     1      37     0.06040    -0.50377     0.00000    5.538645256    5.132472075   -0.406173181
     1      37     0.06040    -0.35539     0.00000    5.108412892    4.596586112   -0.511826780
     1      37     0.06040    -0.20700     0.00000    5.265582179    4.764535223   -0.501046956
     1      37     0.06040    -0.05861     0.00000    5.644060018    5.265120449   -0.378939570
     1      37     0.18891     0.16397     0.00000    5.154724425    4.634968737   -0.519755688
     1      37     0.18891     0.31235     0.00000    4.897290013    4.392257226   -0.505032787
     1      37     0.18891     0.46074     0.00000    5.239063837    4.811556071   -0.427507766
     1      37     0.18891    -0.57797     0.00000    5.222503576    4.939063387   -0.283440189
     1      37     0.18891    -0.42958     0.00000    5.137014969    4.679800149   -0.457214820
     1      37     0.18891    -0.28119     0.00000    4.921497137    4.419495842   -0.502001295
     1      37     0.18891    -0.13281     0.00000    5.212638383    4.693782974   -0.518855409
     1      37     0.18891     0.01558     0.00000    5.372874551    4.897301167   -0.475573384
     1      37     0.31741     0.23816     0.00000    5.227093397    4.720417114   -0.506676282
     1      37     0.31741     0.38655     0.00000    5.266880559    4.834466801   -0.432413758
     1      37     0.31741     0.53494     0.00000    4.758071714    4.499390316   -0.258681399
     1      37     0.31741    -0.50377     0.00000    4.919813432    4.656207630   -0.263605802
     1      37     0.31741    -0.35539     0.00000    5.229629319    4.764499556   -0.465129763
     1      37     0.31741    -0.20700     0.00000    5.234519027    4.704674783   -0.529844244
     1      37     0.31741    -0.05861     0.00000    4.983530156    4.479669972   -0.503860183
     1      37     0.31741     0.08977     0.00000    5.030745927    4.520811092   -0.509934836
     1      37     0.44592     0.31235     0.00000    5.618808679    5.312090887   -0.306717792
     1      37    -0.58214    -0.13281     0.00000    5.290240755    4.994006487   -0.296234268
     1      37    -0.58214     0.01558     0.00000    4.987163711    4.721873624   -0.265290087
     1      37    -0.58214     0.16397     0.00000    5.402238964    5.088938554   -0.313300410
     1      37     0.44592    -0.28119     0.00000    5.616476564    5.355116294   -0.261360270
     1      37     0.44592    -0.13281     0.00000    5.279830042    4.801248317   -0.478581725
     1      37     0.44592     0.01558     0.00000    5.036939685    4.558347088   -0.478592597
     1      37     0.44592     0.16397     0.00000    5.388557696    4.913778926   -0.474778770
     1      37    -0.45363    -0.20700     0.00000    5.542812520    5.165369724   -0.377442796
     1      37    -0.45363    -0.05861     0.00000    5.108521971    4.636011332   -0.472510639
     1      37    -0.45363     0.08977     0.00000    5.174016086    4.698490122   -0.475525964
     1      37    -0.45363     0.23816     0.00000    5.596480605    5.333439432   -0.263041173
     1      37    -0.45363     0.38655     0.00000    5.541019058    5.201670893   -0.339348166
     1      37     0.57443    -0.05861     0.00000    5.092056118    4.801904133   -0.290151985
     1      37     0.57443     0.08977     0.00000    5.172785151    4.877020970   -0.295764180
     1      37    -0.45363    -0.35539     0.00000    5.597063842    5.259726077   -0.337337764
     1      37    -0.32512    -0.13281     0.00000    5.121580778    4.602201641   -0.519379137
     1      37    -0.32512     0.01558     0.00000    4.935864766    4.435329710   -0.500535056
     1      37    -0.32512     0.16397     0.00000    5.195055734    4.662984577   -0.532071157
     1      37    -0.32512     0.31235     0.00000    5.225209704    4.738035241   -0.487174464
     1      37    -0.32512     0.46074     0.00000    5.139814482    4.843495606   -0.296318877
     1      37    -0.32512    -0.57797     0.00000    4.602156120    4.343980602   -0.258175519
     1      37    -0.32512    -0.42958     0.00000    5.259662852    4.913487656   -0.346175196
     1      37    -0.32512    -0.28119     0.00000    5.228712729    4.734537716   -0.494175013
     1      37    -0.19662    -0.05861     0.00000    5.304817816    4.802958870   -0.501858946
     1      37    -0.19662     0.08977     0.00000    5.261674734    4.748260843   -0.513413891
     1      37    -0.19662     0.23816     0.00000    4.996597273    4.493075706   -0.503521567
     1      37    -0.19662     0.38655     0.00000    5.003588464    4.512066996   -0.491521468
     1      37    -0.19662     0.53494     0.00000    5.245008557    4.933660916   -0.311347641
     1      37    -0.19662    -0.50377     0.00000    5.287867538    4.934933543   -0.352933995
     1      37    -0.19662    -0.35539     0.00000    4.933238953    4.426865471   -0.506373482
     1      37    -0.19662    -0.20700     0.00000    5.060717824    4.548699116   -0.512018708
     1      37    -0.06811     0.01558     0.00000    5.661066766    5.284231830   -0.376834936
     1      37    -0.06811     0.16397     0.00000    5.419852174    4.943633967   -0.476218207
     1      37    -0.06811     0.31235     0.00000    5.052780573    4.537020654   -0.515759918
     1      37    -0.06811     0.46074     0.00000    5.391757712    4.917363871   -0.474393841
     1      37    -0.06811    -0.57797     0.00000    5.619224036    5.298998322   -0.320225714
     1      37    -0.06811    -0.42958     0.00000    5.285048219    4.795079769   -0.489968450
     1      37    -0.06811    -0.28119     0.00000    5.068635750    4.550765479   -0.517870271
     1      37    -0.06811    -0.13281     0.00000    5.524328080    5.073450050   -0.450878030
     1      38     0.06040     0.08977     0.00000    5.698439895    5.231642309   -0.466797586
     1      38     0.06040     0.23816     0.00000    5.424750324    5.044100706   -0.380649618
     1      38     0.06040     0.38655     0.00000    5.403946102    5.078216488   -0.325729615
     1      38     0.06040     0.53494     0.00000    5.692667764    5.213159548   -0.479508216
     1      38     0.06040    -0.50377     0.00000    5.645125284    5.231730084   -0.413395200
     1      38     0.06040    -0.35539     0.00000    5.364315619    5.035582114   -0.328733505
     1      38     0.06040    -0.20700     0.00000    5.495055387    5.088455132   -0.406600255
     1      38     0.06040    -0.05861     0.00000    5.773859369    5.303418793   -0.470440576
     1      38     0.18891     0.16397     0.00000    5.436572404    5.063661582   -0.372910822
     1      38     0.18891     0.31235     0.00000    5.220872477    4.833870140   -0.387002337
     1      38     0.18891     0.46074     0.00000    5.547995601    5.164606687   -0.383388915
     1      38     0.18891    -0.57797     0.00000    5.548630223    5.139441202   -0.409189021
     1      38     0.18891    -0.42958     0.00000    5.525407446    5.145364673   -0.380042774
     1      38     0.18891    -0.28119     0.00000    5.209601903    4.824103525   -0.385498378
     1      38     0.18891    -0.13281     0.00000    5.513183690    5.114279749   -0.398903941
     1      38     0.18891     0.01558     0.00000    5.539256446    5.122671588   -0.416584858
     1      38     0.31741     0.23816     0.00000    5.427683840    5.118984045   -0.308699795
     1      38     0.31741     0.38655     0.00000    5.560396505    5.175566323   -0.384830182
     1      38     0.31741     0.53494     0.00000    5.346155579    4.956971112   -0.389184467
     1      38     0.31741    -0.50377     0.00000    5.399064609    5.006295073   -0.392769536
     1      38     0.31741    -0.35539     0.00000    5.561512244    5.190996600   -0.370515644
     1      38     0.31741    -0.20700     0.00000    5.425933871    5.163141481   -0.262792390
     1      38     0.31741    -0.05861     0.00000    5.255180294    4.880450667   -0.374729627
     1      38     0.31741     0.08977     0.00000    5.304978053    4.949435972   -0.355542081
     1      38     0.44592     0.31235     0.00000    5.711049072    5.200919098   -0.510129974
     1      38    -0.58214    -0.13281     0.00000    5.572666832    5.153105276   -0.419561556
     1      38    -0.58214     0.01558     0.00000    5.414561726    5.020945917   -0.393615809
     1      38    -0.58214     0.16397     0.00000    5.624267974    5.185382608   -0.438885367
     1      38     0.44592    -0.28119     0.00000    5.720004945    5.180324203   -0.539680741
     1      38     0.44592    -0.13281     0.00000    5.550221218    5.201639743   -0.348581475
     1      38     0.44592     0.01558     0.00000    5.455975825    5.068354454   -0.387621371
     1      38     0.44592     0.16397     0.00000    5.578176637    5.233010152   -0.345166485
     1      38    -0.45363    -0.20700     0.00000    5.634934313    5.202497651   -0.432436661
