# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05830933E+01  -1.02572254E+01   3.25867860E-01
# Error est. for CH(vbm) CH(cbm) diff =   7.95308758E-01   8.95153800E-01   9.98450412E-02
#    Nb          CH(vbm)          CH(cbm)             diff
    182  -9.85828020E+00  -9.02493050E+00   8.33349697E-01
    183  -9.86320878E+00  -9.02990675E+00   8.33302036E-01
    184  -9.86840601E+00  -9.03472962E+00   8.33676392E-01
    185  -9.87360065E+00  -9.03936389E+00   8.34236757E-01
    186  -9.87838848E+00  -9.04401257E+00   8.34375907E-01
    187  -9.88278390E+00  -9.04885437E+00   8.33929533E-01
    188  -9.88683643E+00  -9.05313311E+00   8.33703319E-01
    189  -9.89111743E+00  -9.05789386E+00   8.33223567E-01
    190  -9.89589184E+00  -9.06281885E+00   8.33072991E-01
    191  -9.90026141E+00  -9.06711196E+00   8.33149446E-01
    192  -9.90472257E+00  -9.07171548E+00   8.33007096E-01
    193  -9.90931860E+00  -9.07604212E+00   8.33276473E-01
    194  -9.91403385E+00  -9.08067610E+00   8.33357747E-01
    195  -9.91866604E+00  -9.08539673E+00   8.33269315E-01
    196  -9.92303946E+00  -9.08972026E+00   8.33319197E-01
    197  -9.92708023E+00  -9.09413822E+00   8.32942003E-01
    198  -9.93116769E+00  -9.09854578E+00   8.32621918E-01
    199  -9.93521304E+00  -9.10259096E+00   8.32622085E-01
# k =  -0.000000   0.333333   0.000000 spin = 1
