# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.17134     0.49462     0.00000    2.351103907    2.369635610    0.018531703
     1      35     0.17134     0.51935     0.00000    2.415404752    2.433329094    0.017924342
     1      35     0.17134     0.54409     0.00000    2.470420060    2.484624283    0.014204224
     1      35     0.17134     0.56882     0.00000    2.507819954    2.518520149    0.010700195
     1      35     0.17134     0.59355     0.00000    2.521113732    2.531336665    0.010222933
     1      35     0.17134     0.61828     0.00000    2.507820057    2.518521764    0.010701707
     1      35     0.17134     0.64301     0.00000    2.470420259    2.484636126    0.014215868
     1      35     0.17134     0.66774     0.00000    2.415405032    2.433351157    0.017946126
     1      35     0.17134     0.69247     0.00000    2.351104257    2.369659261    0.018555004
     1      35     0.17134     0.71720     0.00000    2.285603358    2.298847619    0.013244261
     1      35     0.17134     0.74194     0.00000    2.225541987    2.203493506   -0.022048481
     1      35     0.17134     0.76667     0.00000    2.175977310    2.118749740   -0.057227570
     1      35     0.17134     0.79140     0.00000    2.142213008    2.079745682   -0.062467326
     1      35     0.17134     0.81613     0.00000    2.155825068    2.030151590   -0.125673478
     1      35     0.17134     0.84086     0.00000    2.246381466    1.697313670   -0.549067796
     1      35     0.17134     0.86559     0.00000    2.338405152    1.365763553   -0.972641600
     1      35     0.19276     0.33387     0.00000    2.260788646    1.432374638   -0.828414008
     1      35     0.19276     0.35860     0.00000    2.172131930    2.005938032   -0.166193898
     1      35     0.19276     0.38333     0.00000    2.143908337    2.081421841   -0.062486496
     1      35     0.19276     0.40806     0.00000    2.178296377    2.126214881   -0.052081496
     1      35     0.19276     0.43280     0.00000    2.227673371    2.190837734   -0.036835636
     1      35     0.19276     0.45753     0.00000    2.288537151    2.306784281    0.018247130
     1      35     0.19276     0.48226     0.00000    2.357252633    2.380895035    0.023642402
     1      35     0.19276     0.50699     0.00000    2.428236769    2.455192252    0.026955483
     1      35     0.19276     0.53172     0.00000    2.493804507    2.525186984    0.031382478
     1      35     0.19276     0.55645     0.00000    2.544933358    2.570673188    0.025739830
     1      35     0.19276     0.58118     0.00000    2.573140608    2.592326899    0.019186291
     1      35     0.19276     0.60591     0.00000    2.573140650    2.592327645    0.019186995
     1      35     0.19276     0.63065     0.00000    2.544933480    2.570676945    0.025743465
     1      35     0.19276     0.65538     0.00000    2.493804702    2.525206668    0.031401965
     1      35     0.19276     0.68011     0.00000    2.428237028    2.455215002    0.026977974
     1      35     0.19276     0.70484     0.00000    2.357252945    2.380917133    0.023664187
     1      35     0.19276     0.72957     0.00000    2.288537503    2.306804851    0.018267348
     1      35     0.19276     0.75430     0.00000    2.227673745    2.190854527   -0.036819219
     1      35     0.19276     0.77903     0.00000    2.178296741    2.126231805   -0.052064936
     1      35     0.19276     0.80376     0.00000    2.143908543    2.081437457   -0.062471086
     1      35     0.19276     0.82849     0.00000    2.172130612    2.005948765   -0.166181846
     1      35     0.21418     0.37097     0.00000    2.143359924    2.080879926   -0.062479998
     1      35     0.21418     0.39570     0.00000    2.178792453    2.133369907   -0.045422546
     1      35     0.21418     0.42043     0.00000    2.228250486    2.245869156    0.017618670
     1      35     0.21418     0.44516     0.00000    2.289642175    2.361841727    0.072199552
     1      35     0.21418     0.46989     0.00000    2.360723448    2.418769529    0.058046081
     1      35     0.21418     0.49462     0.00000    2.437201696    2.477950827    0.040749131
     1      35     0.21418     0.51935     0.00000    2.512290831    2.595820275    0.083529444
     1      35     0.21418     0.54409     0.00000    2.576962170    2.696932784    0.119970614
